solver,size,time,error,mem
Mosek,4,0.003981208,1.7944881136600088e-9,2.267712
Mosek,6,0.015077375,1.7172241406626654e-10,11.93108
Mosek,8,0.057198667,8.930610251312032e-9,41.70076
Mosek,10,0.24208475,6.682865372198421e-11,118.662552
Mosek,12,0.784741,1.2408662986018726e-10,298.901304
Mosek,14,2.186872875,3.516157065508452e-8,681.873904
Mosek,16,5.234726625,2.61467978268648e-7,1418.272576
Mosek,18,11.975832792,2.2203070293436156e-7,2777.217472
