solver,size,time,error,mem
ProxSDP,2,0.002497542,0.0002212061167874424,0.525416
ProxSDP,6,0.950499875,0.0002218177610364691,193.534944
ProxSDP,10,43.168569625,0.00020027336553951613,7624.685216
