solver,size,time,error,mem
COSMO,4, 0.004337583,4.741762538174044e-13,3.427008
COSMO,8,0.047581542,3.0480969970270166e-8,56.308632
COSMO,12,0.470391208,5.538118852399521e-10,406.16996
COSMO,16,2.70394775,2.6483783610586897e-8,1963.427896
COSMO,20,11.904281583,5.52250818408595e-8,7373.77092
COSMO,24,42.370814792,6.07205264624433e-6,22844.175728
COSMO,28,180.540239042,5.032445806207875e-5,74328.8336
