solver,size,time,error,mem
CSDP,4,3.213002917,4.4693837519815816e-10,2.380096
CSDP,6,19.109204875,1.2215017886063606e-10,12.50712
CSDP,8,54.931356084,6.673382957345098e-10,44.621832
CSDP,10,141.32511975,2.2520307840778742e-10,129.806496
