solver,size,time,error,mem
Pajarito,4,0.019003917,2.3039763208387853e-8,6.698768
Pajarito,6,0.223844583,5.25021965902539e-8,65.229544
Pajarito,8,1.794054542,2.8765194559632334e-8,412.198136
Pajarito,10,8.375636958,2.685100841670618e-8,1740.176072
Pajarito,12,37.309971083,5.89499477010591e-8,7141.195896
Pajarito,14,139.440752042,5.764994159829229e-8,24332.389288
